Year,Wheat Price Per Bushel,Yield Bushels Per Acres,US Stocks To - Use Ratio -,Crude_Oil_Per_ - Barrel _Adjusted Inflation,ENSO - Index,Us Inflat - ion_Rate
1970,1.54,31,54.4,20.63,-0.85,5.7
1971,1.58,33.9,67.4,21,-0.3,4.4
1972,2.23,32.7,30.9,20.33,1.03,3.2
1973,4.51,31.6,17.3,25.06,-1.35,6.2
1974,4.19,27.3,25.7,44.71,-0.63,11
1975,3.74,30.6,35.1,53.55,-1.06,9.1
1976,2.88,30.3,65.3,54.37,0.5,5.8
1977,2.73,30.7,59.4,56.08,0.34,6.5
1978,3.38,31.4,45.5,54.16,-0.08,7.6
1979,4.25,34.1,41.8,80.9,0.37,11.3
1980,4.45,33.5,43.1,107.37,-0.19,13.5
1981,4.27,34.6,44.3,92.98,-0.01,10.3
1982,3.94,35.5,62.7,77.95,1.48,6.2
1983,3.84,39.4,55.1,68.97,-0.46,3.2
1984,3.74,38.8,55.3,65.37,-0.67,4.3
1985,3.28,37.5,97.2,59.1,-0.34,3.6
1986,2.72,34.4,82.9,31.1,0.98,1.9
1987,2.96,37.7,47,36.89,0.64,3.6
1988,4.17,34.1,29.3,29.73,-1.28,4.1
1989,4.22,32.7,24.1,34.91,-0.02,4.8
1990,2.94,39.5,35.7,41.79,0.36,5.4
1991,3.77,34.3,19.7,35.03,1.08,4.2
1992,3.67,39.3,21.4,32.4,0.19,3
1993,3.6,38.2,23,27.39,0.22,3
1994,3.97,37.6,20.5,24.94,0.59,2.6
1995,5.49,35.8,15.8,25.96,-0.59,2.8
1996,4.88,36.3,19.3,30.79,-0.08,3
1997,3.71,39.5,31.4,27.43,1.58,2.3
1998,3.08,43.2,39,17.26,-1.14,1.6
1999,2.87,42.7,39.8,23.42,-1.21,2.2
2000,3.3,42,36.6,37.55,-0.53,3.4
2001,3.25,40.2,36.1,30.69,0.04,2.8
2002,4.22,35,25,29.92,0.69,1.6
2003,4.03,44.2,23.2,35.55,0.28,2.3
2004,3.99,43.2,24.2,47.05,0.53,2.7
2005,4.45,42,24.8,60.45,-0.29,3.4
2006,5.38,38.6,25.9,68.28,0.33,3.2
2007,9.11,40.2,22.6,72.99,-0.98,2.8
2008,7.03,44.8,27.7,100.01,-0.3,3.8
2009,5.24,44.3,29.8,58.76,0.85,-0.4
2010,7.55,46.1,27.2,77.11,-1.05,1.6
2011,7.81,43.6,28.4,91.39,-0.54,3.2
2012,8.95,46.2,26.3,88.95,-0.07,2.1
2013,8.34,47.1,25.4,92.41,-0.29,1.5
2014,7.28,43.7,27.9,89.08,0.39,1.6
